fecha,referencia,PC1
03/04/2018,P2,0.568110891869464
03/04/2018,P3,0.5951416597908921
03/04/2018,P4,0.8113878031623168
03/04/2018,P5,0.6627185795944623
03/04/2018,P6,-0.06711215428409634
17/07/2018,P1,-0.06711215428409634
17/07/2018,P2,-0.06711215428409634
17/07/2018,P3,-0.06711215428409634
17/07/2018,P4,-0.06711215428409634
17/07/2018,P5,-0.06711215428409634
17/07/2018,P6,-0.06711215428409634
30/10/2018,P1,-0.05359677032338229
30/10/2018,P2,-0.06711215428409634
30/10/2018,P3,-0.06711215428409634
30/10/2018,P4,-0.06711215428409634
30/10/2018,P5,-0.06711215428409634
30/10/2018,P6,-0.06711215428409634
22/01/2019,P1,-0.06711215428409634
22/01/2019,P2,-0.06711215428409634
22/01/2019,P3,-0.06711215428409634
22/01/2019,P5,-0.06711215428409634
22/01/2019,P6,-0.06711215428409634
23/04/2019,P1,0.4599878201837516
23/04/2019,P2,0.5275647399873219
23/04/2019,P3,0.4599878201837516
23/04/2019,P4,0.4599878201837516
23/04/2019,P5,-0.06711215428409634
23/04/2019,P6,0.5275647399873219
27/08/2019,P1,-0.06711215428409634
27/08/2019,P2,-0.06711215428409634
27/08/2019,P3,-0.06711215428409634
27/08/2019,P4,-0.06711215428409634
27/08/2019,P5,-0.06711215428409634
27/08/2019,P6,-0.06711215428409634
22/10/2019,P1,0.39241090038018134
22/10/2019,P2,0.13561860512661442
22/10/2019,P3,0.3788955164194673
22/10/2019,P4,0.4329570522623235
22/10/2019,P5,0.28428782869446895
22/10/2019,P6,-0.06711215428409634
09/07/2020,P1,-0.06711215428409634
09/07/2020,P2,-0.06711215428409634
09/07/2020,P3,-0.026566002401954187
09/07/2020,P4,-0.09414292220552443
09/07/2020,P5,0.06804168532304417
09/07/2020,P6,-0.06711215428409634
24/09/2001,LN1,0.23938972317697685
22/10/2001,LN1,0.35791964051243913
11/03/2002,LN1,0.3768817242093209
06/11/2002,LN1,-0.11829491334332043
04/12/2002,LN1,4.80162894714697e-17
31/03/2003,LN1,4.80162894714697e-17
28/04/2003,LN1,0.1602030885511533
23/07/2003,LN1,4.80162894714697e-17
24/09/2003,LN1,0.3032904585432329
08/12/2003,LN1,0.07519132343826194
08/12/2003,LN1,0.3346596647160502
16/02/2004,LN1,0.3300779495533681
11/10/2004,LN1,0.31833308089150764
02/05/2005,LN1,-0.2724513827992249
12/10/2005,LN1,-0.37054603958608745
26/10/2005,LN1,4.80162894714697e-17
11/01/2006,LN1,-0.17405938756522663
03/04/2006,LN1,-0.3407581333366737
28/06/2006,LN1,-0.31667371911868125
25/09/2006,LN1,-0.37699287773534806
11/10/2006,LN1,-0.36947832425319105
03/01/2007,LN1,-0.1788708642552408
28/03/2007,LN1,-0.10614458316263853
09/07/2007,LN1,-0.1157540211587062
17/09/2007,LN1,-0.07312650014661409
12/12/2007,LN1,-0.13181029730403448
12/03/2008,LN1,-0.2724784135671463
11/06/2008,LN1,-0.1564488422644162
10/09/2008,LN1,-0.3040908966512565
22/10/2008,LN1,-0.34404237163912726
12/01/2009,LN1,-0.33702788736351663
06/04/2009,LN1,-0.3084563656705671
24/06/2009,LN1,-0.35977427856939836
24/06/2009,LN2,0.2628794605006979
05/10/2009,LN1,-0.3628557861124412
05/10/2009,LN2,0.6382016730897272
28/12/2009,LN1,4.80162894714697e-17
28/12/2009,LN2,0.4627179277438158
03/02/2010,LN1,-0.371275870319966
03/02/2010,LN2,0.6280786505031523
10/08/2010,LN1,-0.37774973923714805
10/08/2010,LN2,0.3321998648352003
06/12/2010,LN1,-0.3768577238957409
06/12/2010,LN2,0.2626902451252479
23/03/2011,LN1,-0.3903325617045728
23/03/2011,LN2,-0.17705980280450515
22/06/2011,LN1,-0.3785471468908302
22/06/2011,LN2,-0.19865738637372618
05/10/2011,LN1,10.50191810299429
05/10/2011,LN2,-0.2784522132777819
20/12/2011,LN1,4.866002991376532
20/12/2011,LN2,-0.14167652759535573
09/04/2012,LN1,-0.382858554374298
09/04/2012,LN2,0.15878397323527826
26/06/2012,LN1,-0.37100556264075174
26/06/2012,LN2,-0.15142111943103057
27/09/2012,LN1,-0.380777185244348
27/09/2012,LN2,-0.324580218735699
04/12/2012,LN1,-0.3827774620705337
04/12/2012,LN2,0.2518914533406374
19/03/2013,LN1,-0.378695816114398
19/03/2013,LN2_SB,-0.023038487188207828
19/03/2013,LN2_CB,-0.18034404110695865
16/04/2013,LN2_SB,0.11188559089160054
16/04/2013,LN2_CB,-0.11413217508342051
10/05/2013,LN2_SB,0.05508043210471934
10/05/2013,LN2_CB,-0.08776366097606739
20/06/2013,LN1,-0.38295316206202296
20/06/2013,LN2_CB,0.46333963540600875
20/06/2013,LN2_SB,0.18289541822119212
23/07/2013,LN2_SB,0.20357395568108463
23/07/2013,LN2_CB,-0.05000167818983237
11/09/2013,LN1,-0.3808177313962301
11/09/2013,LN2_SB,-0.16720708789714456
11/09/2013,LN2_CB,-0.18291196405949434
21/10/2013,LN2_SB,-0.1625037342788161
21/10/2013,LN2_CB,-0.2991172353537137
24/10/2013,LN1,-0.3578686094309377
20/01/2014,LN2_SB,-0.14493373512988783
20/01/2014,LN2_CB,-0.23199983860480775
31/01/2014,LN1,-0.37981759298313733
31/01/2014,LN2_CB,-0.17209965689092308
31/01/2014,LN2_SB,0.0813408231403868
11/04/2014,LN2_SB,0.10237076058325784
11/04/2014,LN2_CB,-0.12502557455575605
29/04/2014,LN1,-0.38302073898182654
29/04/2014,LN2_SB,0.08490888450601526
29/04/2014,LN2_CB,-0.15325921164968767
24/06/2014,LN2_SB,0.7378641144160325
24/06/2014,LN2_CB,-0.012847887681829418
15/07/2014,LN1,-0.3793986160803552
15/07/2014,LN2_SB,0.11237214471418626
15/07/2014,LN2_CB,-0.15002903488307706
05/08/2014,LN2_SB,0.3815850778276494
05/08/2014,LN2_CB,-0.17733011048371944
26/08/2014,LN2_SB,-0.0356348250395933
26/08/2014,LN2_CB,-0.18533121778846212
09/09/2014,LN2_SB,0.21879227802084872
09/09/2014,LN2_CB,-0.19161587133019417
07/10/2014,LN1,-0.38053390833305517
07/10/2014,LN2_SB,-0.19671117108338337
07/10/2014,LN2_CB,-0.23844667675406833
11/11/2014,LN2_SB,-0.036459263461196864
11/11/2014,LN2_CB,-0.19446761734590481
09/12/2014,LN2_SB,-0.06328730062321425
09/12/2014,LN2_CB,-0.2290940310532542
12/01/2015,LN2_SB,-0.049704339742696634
12/01/2015,LN2_CB,-0.22389060822837933
27/01/2015,LN1,-0.3813988929065409
27/01/2015,LN2_SB,-0.1920348482329763
27/01/2015,LN2_CB,-0.1665313186991089
10/02/2015,LN2_SB,-0.3298647338643382
10/02/2015,LN2_CB,-0.30059041220543153
24/02/2015,LN2_SB,-0.1960624326532691
24/02/2015,LN2_CB,-0.25254322222509307
10/03/2015,LN2_SB,-0.1346890740876666
10/03/2015,LN2_CB,-0.22649907733279712
24/03/2015,LN2_SB,-0.2097400012215117
24/03/2015,LN2_CB,-0.3239044495376633
31/03/2015,LN1,11.63721035569427
31/03/2015,LN2_SB,-0.30809145030362783
31/03/2015,LN2_CB,-0.3222961188463383
21/04/2015,LN2_SB,-0.34339363320901295
21/04/2015,LN2_CB,-0.35689550178576623
05/05/2015,LN2_SB,-0.28476389758743537
05/05/2015,LN2_CB,-0.27472196730462484
19/05/2015,LN2_SB,-0.3099700886741671
19/05/2015,LN2_CB,-0.330013403087906
02/06/2015,LN1,-0.38473719274483725
02/06/2015,LN2_SB,-0.3112270193825135
02/06/2015,LN2_CB,-0.33005394923978815
16/06/2015,LN1,-0.37966892375956945
16/06/2015,LN2_SB,-0.3096727502270314
16/06/2015,LN2_CB,-0.3251884110139311
07/07/2015,LN1,-0.3832099543572765
07/07/2015,LN2_SB,-0.3139571269425777
07/07/2015,LN2_CB,-0.3088077656535457
21/07/2015,LN2_SB,-0.2955626893720459
21/07/2015,LN2_CB,-0.299103719969753
18/08/2015,LN2_SB,-0.25677353740479664
18/08/2015,LN2_CB,-0.2732893366047892
25/08/2015,LN2_SB,-0.3019014044496208
25/08/2015,LN2_CB,-0.27587077494128553
08/09/2015,LN2_SB,-0.30442878125027434
08/09/2015,LN2_CB,-0.30229335058448153
30/09/2015,LN2_SB,-0.3376766257936309
30/09/2015,LN2_CB,-0.3306486261340596
13/10/2015,LN2_SB,-0.3079698118479814
13/10/2015,LN1,-0.3654777706008197
13/10/2015,LN2_CB,-0.3418799102054129
10/11/2015,LN2_SB,-0.3238368726178597
10/11/2015,LN2_CB,0.14575514309714996
24/11/2015,LN2_SB,-0.33793341808888444
24/11/2015,LN2_CB,-0.28107419776616044
08/12/2015,LN2_SB,-0.027566140815047047
08/12/2015,LN2_CB,0.014547795606537975
22/12/2015,LN2_SB,-0.2965763431690995
22/12/2015,LN2_CB,-0.19842762484639404
12/01/2016,LN1,-0.37031627805875533
12/01/2016,LN2_SB,-0.3103620348090278
12/01/2016,LN2_CB,-0.18889927915409063
26/01/2016,LN2_SB,-0.30713185804241716
26/01/2016,LN2_CB,-0.08633103027623172
10/02/2016,LN2_SB,-0.3306621415180203
10/02/2016,LN2_CB,-0.3152005422669635
23/02/2016,LN2_SB,-0.2545434990512788
23/02/2016,LN2_CB,0.0055060037368202695
08/03/2016,LN2_SB,-0.07608636923401048
08/03/2016,LN2_CB,-0.14852882726343777
22/03/2016,LN2_SB,-0.10817189075674562
22/03/2016,LN2_CB,-0.23059423867289347
05/04/2016,LN2_SB,-0.3425151332515665
05/04/2016,LN2_CB,-0.34831323297071287
19/04/2016,LN1,-0.37560079318739453
19/04/2016,LN2_CB,-0.3769523315834659
19/04/2016,LN2_SB,-0.3419880332770987
03/05/2016,LN2_SB,-0.19622461726079765
03/05/2016,LN2_CB,-0.326283157114749
17/05/2016,LN2_SB,-0.17303221838421234
17/05/2016,LN2_CB,-0.23560844612231838
05/07/2016,LN2_SB,-0.2361085153288648
05/07/2016,LN2_CB,-0.2502996684876146
19/07/2016,LN1,-0.38353432357233364
19/07/2016,LN2_SB,-0.20391487073444395
19/07/2016,LN2_CB,-0.3066993657556743
02/08/2016,LN2_CB,-0.30127969678742794
02/08/2016,LN2_SB,-0.2553679374728824
30/08/2016,LN2_CB,-0.1859394100666943
30/08/2016,LN2_SB,-0.06773386194628918
06/09/2016,LN2_CB,-0.1537457654722734
06/09/2016,LN2_SB,0.2961137896600938
04/10/2016,LN2_CB,-0.2935353817779388
04/10/2016,LN2_SB,-0.2828176822970926
11/10/2016,LN1,-0.38135834675465874
11/10/2016,LN2_SB,-0.25112410690921816
11/10/2016,LN2_CB,-0.25407046061265376
12/11/2016,LN2_CB,-0.28081740547090683
12/11/2016,LN2_SB,-0.25874678346306085
22/11/2016,LN2_CB,-0.24269050731773256
22/11/2016,LN2_SB,-0.2540434298447323
06/12/2016,LN2_CB,-0.27368128273964987
06/12/2016,LN2_SB,-0.24756956092755034
20/12/2016,LN2_SB,-0.2783440902060962
20/12/2016,LN2_CB,-0.3310811184208024
10/01/2017,LN1,-0.36641033209410895
10/01/2017,LN2_SB,-0.2756274980299927
10/01/2017,LN2_CB,-0.2718567059049535
